time_s;EMG_mV
0.0000;0.0226
0.0010;0.1901
0.0020;0.1192
0.0030;0.1063
0.0040;-0.0677
0.0050;-0.1289
0.0060;-0.0645
0.0070;0.1740
0.0080;0.0677
0.0090;-0.0612
0.0100;-0.0677
0.0110;-0.0451
0.0120;-0.0387
0.0130;-0.0580
0.0140;-0.1031
0.0150;-0.0838
0.0160;-0.0419
0.0170;0.0709
0.0180;0.0902
0.0190;-0.1031
0.0200;-0.1096
0.0210;0.0677
0.0220;0.1257
0.0230;0.0645
0.0240;0.1192
0.0250;0.1192
0.0260;-0.0129
0.0270;-0.1676
0.0280;-0.0451
0.0290;0.2804
0.0300;0.3223
0.0310;0.0677
0.0320;0.0709
0.0330;0.1225
0.0340;0.1515
0.0350;-0.2030
0.0360;-0.5156
0.0370;-0.4544
0.0380;-0.4254
0.0390;-0.0902
0.0400;0.0064
0.0410;0.1482
0.0420;0.2095
0.0430;0.2965
0.0440;0.1418
0.0450;0.0193
0.0460;-0.0516
0.0470;-0.1192
0.0480;-0.1063
0.0490;-0.0290
0.0500;-0.0290
0.0510;-0.0838
0.0520;-0.0032
0.0530;0.1579
0.0540;0.2385
0.0550;0.0354
0.0560;0.0612
0.0570;-0.0999
0.0580;-0.1934
0.0590;-0.1257
0.0600;0.0000
0.0610;0.0645
0.0620;0.0258
0.0630;0.0451
0.0640;0.0516
0.0650;-0.0032
0.0660;0.0226
0.0670;0.0193
0.0680;0.0741
0.0690;-0.0677
0.0700;-0.1031
0.0710;-0.0258
0.0720;-0.1192
0.0730;-0.1547
0.0740;-0.1096
0.0750;0.2320
0.0760;0.1708
0.0770;0.2191
0.0780;0.2191
0.0790;0.2288
0.0800;-0.0580
0.0810;-0.0870
0.0820;-0.0161
0.0830;-0.0290
0.0840;0.0129
0.0850;0.1160
0.0860;-0.1096
0.0870;-0.2707
0.0880;-0.2127
0.0890;-0.0580
0.0900;-0.0032
0.0910;0.0097
0.0920;0.0129
0.0930;0.0129
0.0940;0.0129
0.0950;0.0258
0.0960;0.0258
0.0970;-0.0870
0.0980;0.0516
0.0990;0.3416
0.1000;0.3190
0.1010;0.0032
0.1020;-0.1869
0.1030;-0.2417
0.1040;-0.3706
0.1050;-0.0902
0.1060;0.0064
0.1070;-0.0161
0.1080;-0.0097
0.1090;0.0387
0.1100;0.0419
0.1110;0.0161
0.1120;-0.0258
0.1130;0.0032
0.1140;-0.0451
0.1150;0.0258
0.1160;0.0645
