time_s;ECG_mV
0.0000;-0.4512
0.0010;-0.4775
0.0020;-0.5039
0.0030;-0.5303
0.0040;-0.5537
0.0050;-0.5713
0.0060;-0.5859
0.0070;-0.5977
0.0080;-0.6006
0.0090;-0.6006
0.0100;-0.5977
0.0110;-0.5918
0.0120;-0.5859
0.0130;-0.5801
0.0140;-0.5742
0.0150;-0.5654
0.0160;-0.5596
0.0170;-0.5537
0.0180;-0.5420
0.0190;-0.5303
0.0200;-0.5156
0.0210;-0.4951
0.0220;-0.4746
0.0230;-0.4482
0.0240;-0.4248
0.0250;-0.4014
0.0260;-0.3779
0.0270;-0.3545
0.0280;-0.3311
0.0290;-0.3076
0.0300;-0.2871
0.0310;-0.2695
0.0320;-0.2549
0.0330;-0.2402
0.0340;-0.2285
0.0350;-0.2197
0.0360;-0.2109
0.0370;-0.2021
0.0380;-0.1963
0.0390;-0.1904
0.0400;-0.1846
0.0410;-0.1787
0.0420;-0.1729
0.0430;-0.1670
0.0440;-0.1611
0.0450;-0.1553
0.0460;-0.1523
0.0470;-0.1494
0.0480;-0.1465
0.0490;-0.1436
0.0500;-0.1436
0.0510;-0.1377
0.0520;-0.1318
0.0530;-0.1289
0.0540;-0.1260
0.0550;-0.1230
0.0560;-0.1201
0.0570;-0.1172
0.0580;-0.1143
0.0590;-0.1084
0.0600;-0.1025
0.0610;-0.0967
0.0620;-0.0937
0.0630;-0.0908
0.0640;-0.0879
0.0650;-0.0850
0.0660;-0.0820
0.0670;-0.0762
0.0680;-0.0762
0.0690;-0.0732
0.0700;-0.0732
0.0710;-0.0674
0.0720;-0.0645
0.0730;-0.0615
0.0740;-0.0586
0.0750;-0.0586
0.0760;-0.0557
0.0770;-0.0527
0.0780;-0.0498
0.0790;-0.0469
0.0800;-0.0439
0.0810;-0.0410
0.0820;-0.0381
0.0830;-0.0381
0.0840;-0.0352
0.0850;-0.0352
0.0860;-0.0293
0.0870;-0.0234
0.0880;-0.0234
0.0890;-0.0205
0.0900;-0.0205
0.0910;-0.0146
0.0920;-0.0117
0.0930;-0.0088
0.0940;-0.0059
0.0950;-0.0029
0.0960;-0.0029
0.0970;0.0000
0.0980;0.0029
0.0990;0.0088
0.1000;0.0088
0.1010;0.0117
0.1020;0.0146
0.1030;0.0205
0.1040;0.0205
0.1050;0.0234
0.1060;0.0264
0.1070;0.0322
0.1080;0.0322
0.1090;0.0352
0.1100;0.0381
0.1110;0.0410
0.1120;0.0439
0.1130;0.0469
0.1140;0.0498
0.1150;0.0557
0.1160;0.0586
0.1170;0.0645
0.1180;0.0674
0.1190;0.0703
0.1200;0.0762
0.1210;0.0791
0.1220;0.0820
0.1230;0.0879
0.1240;0.0908
0.1250;0.0967
0.1260;0.0967
0.1270;0.1025
0.1280;0.1055
0.1290;0.1055
0.1300;0.1113
0.1310;0.1143
0.1320;0.1172
0.1330;0.1230
0.1340;0.1289
0.1350;0.1348
0.1360;0.1377
0.1370;0.1377
0.1380;0.1406
0.1390;0.1465
0.1400;0.1494
0.1410;0.1523
0.1420;0.1553
0.1430;0.1582
0.1440;0.1641
0.1450;0.1641
0.1460;0.1699
0.1470;0.1729
0.1480;0.1758
0.1490;0.1816
0.1500;0.1846
0.1510;0.1875
0.1520;0.1904
0.1530;0.1963
0.1540;0.1992
0.1550;0.2080
0.1560;0.2109
0.1570;0.2168
0.1580;0.2227
0.1590;0.2256
0.1600;0.2285
0.1610;0.2314
0.1620;0.2373
0.1630;0.2402
0.1640;0.2432
0.1650;0.2461
0.1660;0.2520
0.1670;0.2549
0.1680;0.2549
0.1690;0.2549
0.1700;0.2607
0.1710;0.2666
0.1720;0.2695
0.1730;0.2725
0.1740;0.2754
0.1750;0.2754
0.1760;0.2754
0.1770;0.2754
0.1780;0.2754
0.1790;0.2754
0.1800;0.2725
0.1810;0.2695
0.1820;0.2666
0.1830;0.2666
0.1840;0.2637
0.1850;0.2578
0.1860;0.2520
0.1870;0.2490
0.1880;0.2432
0.1890;0.2373
0.1900;0.2344
0.1910;0.2285
0.1920;0.2256
0.1930;0.2197
0.1940;0.2168
0.1950;0.2109
0.1960;0.2051
0.1970;0.1992
0.1980;0.1904
0.1990;0.1846
0.2000;0.1787
0.2010;0.1729
0.2020;0.1641
0.2030;0.1523
0.2040;0.1406
0.2050;0.1318
0.2060;0.1201
0.2070;0.1113
0.2080;0.1025
0.2090;0.0908
0.2100;0.0820
0.2110;0.0703
0.2120;0.0586
0.2130;0.0469
0.2140;0.0352
0.2150;0.0234
0.2160;0.0117
0.2170;-0.0029
0.2180;-0.0146
0.2190;-0.0322
0.2200;-0.0469
0.2210;-0.0615
0.2220;-0.0732
0.2230;-0.0879
0.2240;-0.0996
0.2250;-0.1143
0.2260;-0.1289
0.2270;-0.1406
0.2280;-0.1523
0.2290;-0.1641
0.2300;-0.1758
0.2310;-0.1875
0.2320;-0.1963
0.2330;-0.2051
0.2340;-0.2168
0.2350;-0.2256
0.2360;-0.2344
0.2370;-0.2461
0.2380;-0.2578
0.2390;-0.2637
0.2400;-0.2725
0.2410;-0.2783
0.2420;-0.2842
0.2430;-0.2930
0.2440;-0.2959
0.2450;-0.3018
0.2460;-0.3076
0.2470;-0.3135
0.2480;-0.3193
0.2490;-0.3252
0.2500;-0.3281
0.2510;-0.3311
0.2520;-0.3311
0.2530;-0.3340
0.2540;-0.3340
0.2550;-0.3369
0.2560;-0.3369
0.2570;-0.3340
0.2580;-0.3340
0.2590;-0.3369
0.2600;-0.3369
0.2610;-0.3398
0.2620;-0.3398
0.2630;-0.3398
0.2640;-0.3428
0.2650;-0.3428
0.2660;-0.3428
0.2670;-0.3428
0.2680;-0.3398
0.2690;-0.3398
0.2700;-0.3340
0.2710;-0.3311
0.2720;-0.3311
0.2730;-0.3281
0.2740;-0.3281
0.2750;-0.3252
0.2760;-0.3223
0.2770;-0.3193
0.2780;-0.3193
0.2790;-0.3193
0.2800;-0.3164
0.2810;-0.3135
0.2820;-0.3105
0.2830;-0.3076
0.2840;-0.3047
0.2850;-0.3018
0.2860;-0.2988
0.2870;-0.2959
0.2880;-0.2930
0.2890;-0.2900
0.2900;-0.2871
0.2910;-0.2871
0.2920;-0.2812
0.2930;-0.2754
0.2940;-0.2725
0.2950;-0.2666
0.2960;-0.2666
0.2970;-0.2607
0.2980;-0.2578
0.2990;-0.2549
0.3000;-0.2549
0.3010;-0.2490
0.3020;-0.2490
0.3030;-0.2432
0.3040;-0.2402
0.3050;-0.2373
0.3060;-0.2344
0.3070;-0.2344
0.3080;-0.2285
0.3090;-0.2256
0.3100;-0.2227
0.3110;-0.2168
0.3120;-0.2139
0.3130;-0.2109
0.3140;-0.2109
0.3150;-0.2080
0.3160;-0.2021
0.3170;-0.1992
0.3180;-0.1963
0.3190;-0.1934
0.3200;-0.1875
0.3210;-0.1846
0.3220;-0.1846
0.3230;-0.1816
0.3240;-0.1816
0.3250;-0.1787
0.3260;-0.1787
0.3270;-0.1729
0.3280;-0.1729
0.3290;-0.1699
0.3300;-0.1699
0.3310;-0.1641
0.3320;-0.1611
0.3330;-0.1582
0.3340;-0.1553
0.3350;-0.1494
0.3360;-0.1494
0.3370;-0.1465
0.3380;-0.1436
0.3390;-0.1406
0.3400;-0.1406
0.3410;-0.1377
0.3420;-0.1348
0.3430;-0.1318
0.3440;-0.1318
0.3450;-0.1289
0.3460;-0.1289
0.3470;-0.1260
0.3480;-0.1230
0.3490;-0.1230
0.3500;-0.1201
0.3510;-0.1201
0.3520;-0.1172
0.3530;-0.1172
0.3540;-0.1172
0.3550;-0.1143
0.3560;-0.1113
0.3570;-0.1084
0.3580;-0.1055
0.3590;-0.1055
0.3600;-0.1025
0.3610;-0.1025
0.3620;-0.1025
0.3630;-0.0996
0.3640;-0.0996
0.3650;-0.0967
0.3660;-0.0937
0.3670;-0.0937
0.3680;-0.0937
0.3690;-0.0937
0.3700;-0.0908
0.3710;-0.0908
0.3720;-0.0850
0.3730;-0.0850
0.3740;-0.0850
0.3750;-0.0850
0.3760;-0.0820
0.3770;-0.0791
0.3780;-0.0762
0.3790;-0.0762
0.3800;-0.0732
0.3810;-0.0762
0.3820;-0.0762
0.3830;-0.0762
0.3840;-0.0732
0.3850;-0.0732
0.3860;-0.0703
0.3870;-0.0703
0.3880;-0.0703
0.3890;-0.0703
0.3900;-0.0703
0.3910;-0.0703
0.3920;-0.0703
0.3930;-0.0645
0.3940;-0.0615
0.3950;-0.0586
0.3960;-0.0557
0.3970;-0.0557
0.3980;-0.0557
0.3990;-0.0557
0.4000;-0.0557
0.4010;-0.0557
0.4020;-0.0557
0.4030;-0.0557
0.4040;-0.0527
0.4050;-0.0557
0.4060;-0.0527
0.4070;-0.0498
0.4080;-0.0498
0.4090;-0.0498
0.4100;-0.0469
0.4110;-0.0469
0.4120;-0.0469
0.4130;-0.0469
0.4140;-0.0469
0.4150;-0.0439
0.4160;-0.0469
0.4170;-0.0469
0.4180;-0.0469
0.4190;-0.0498
0.4200;-0.0469
0.4210;-0.0469
0.4220;-0.0469
0.4230;-0.0498
0.4240;-0.0498
0.4250;-0.0498
0.4260;-0.0527
0.4270;-0.0527
0.4280;-0.0527
0.4290;-0.0527
0.4300;-0.0527
0.4310;-0.0498
0.4320;-0.0498
0.4330;-0.0469
0.4340;-0.0469
0.4350;-0.0469
0.4360;-0.0469
0.4370;-0.0469
0.4380;-0.0469
0.4390;-0.0439
0.4400;-0.0439
0.4410;-0.0410
0.4420;-0.0381
0.4430;-0.0381
0.4440;-0.0381
0.4450;-0.0381
0.4460;-0.0381
0.4470;-0.0352
0.4480;-0.0352
0.4490;-0.0352
0.4500;-0.0322
0.4510;-0.0322
0.4520;-0.0352
0.4530;-0.0352
0.4540;-0.0352
0.4550;-0.0322
0.4560;-0.0352
0.4570;-0.0352
0.4580;-0.0322
0.4590;-0.0352
0.4600;-0.0322
0.4610;-0.0293
0.4620;-0.0293
0.4630;-0.0293
0.4640;-0.0293
0.4650;-0.0293
0.4660;-0.0264
0.4670;-0.0293
0.4680;-0.0293
0.4690;-0.0293
0.4700;-0.0264
0.4710;-0.0234
0.4720;-0.0205
0.4730;-0.0205
0.4740;-0.0176
0.4750;-0.0146
0.4760;-0.0146
0.4770;-0.0146
0.4780;-0.0146
0.4790;-0.0117
0.4800;-0.0117
0.4810;-0.0117
0.4820;-0.0117
0.4830;-0.0117
0.4840;-0.0146
0.4850;-0.0146
0.4860;-0.0146
0.4870;-0.0146
0.4880;-0.0146
0.4890;-0.0146
0.4900;-0.0146
0.4910;-0.0117
0.4920;-0.0117
0.4930;-0.0146
0.4940;-0.0146
0.4950;-0.0117
